ID;x;y;HUNGER;THIRST;MILK
1-0;5;5;15;15;0
2-0;6;6;10;95;0
3-0;5;5;25;90;0
4-0;4;4;40;85;0
5-0;3;3;55;80;0
6-0;2;2;70;75;0
7-0;3;3;65;70;0
8-0;4;4;60;65;0
9-0;5;5;55;60;0
10-0;6;6;50;95;0
11-0;5;6;65;90;0
12-0;4;5;80;85;10
13-0;4;5;75;80;10
14-0;3;4;90;75;10
15-0;4;5;85;70;10
16-0;5;6;80;65;10
17-0;6;7;75;95;10
18-0;5;7;90;90;20
19-0;5;7;85;85;30
20-0;5;7;80;80;40
21-0;5;7;75;75;40
22-0;6;7;70;95;40
23-0;5;6;85;90;50
24-0;5;6;80;85;60
25-0;5;6;75;80;60
26-0;4;5;90;75;60
27-0;5;6;85;70;60
28-0;6;7;80;95;70
29-0;6;7;75;90;70
30-0;5;7;90;85;80
31-0;5;7;85;80;90
32-0;5;7;80;75;90
33-0;6;7;75;95;90
34-0;5;6;90;90;100
35-0;4;6;90;90;100
36-0;3;6;90;90;100
37-0;2;6;90;90;100
38-0;1;6;90;90;100
39-0;0;6;90;90;100
40-0;0;5;20;20;0
41-0;1;6;15;15;0
42-0;2;7;10;10;0
43-0;3;7;5;5;0
44-0;4;7;0;0;0
